City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,palopo,-2.9996,120.1921,26.21,78,6,1.01,ID,1693303942
83,puerto deseado,-47.7503,-65.8938,5.64,69,62,6.87,AR,1693303943
84,crane,31.3974,-102.3501,23.9,51,0,4.04,US,1693303943
85,thompson,55.7435,-97.8558,4.09,100,100,1.03,CA,1693303944
86,saudarkrokur,65.7461,-19.6394,9.34,78,100,0.18,IS,1693303945
87,blackmans bay,-43.0167,147.3167,13.07,87,100,1.03,AU,1693303945
88,lebu,-37.6167,-73.65,7.95,76,89,1.88,CL,1693303945
89,san pedro pochutla,15.7333,-96.4667,24.28,89,100,1.26,MX,1693303946
90,sitka,57.0531,-135.33,16.94,82,0,0.0,US,1693303946
91,dolbeau-mistassini,48.8763,-72.212,14.36,83,86,2.51,CA,1693303947
92,pisco,-13.7,-76.2167,17.03,82,100,1.03,PE,1693303947
93,st. john's,47.5649,-52.7093,16.65,91,40,7.72,CA,1693303948
94,eyl,7.9803,49.8164,34.69,39,9,12.6,SO,1693303948
95,qaqortoq,60.7167,-46.0333,8.52,58,100,0.56,GL,1693303949
96,fisterra,42.9049,-9.2629,21.12,79,87,4.81,ES,1693303949
97,tazacorte,28.629,-17.9293,25.64,74,20,7.2,ES,1693303950
98,woodbury,42.3833,-96.0336,18.16,63,0,2.64,US,1693303950
99,banlung,13.7468,107.0045,25.73,92,100,1.24,KH,1693303951
100,maceio,-9.6658,-35.7353,23.69,100,20,1.54,BR,1693303911
101,ulladulla,-35.35,150.4667,15.09,68,28,2.54,AU,1693303952
102,redencao,-4.2258,-38.7306,24.72,84,25,1.77,BR,1693303952
103,arroyito,-31.4202,-63.05,7.22,60,0,2.43,AR,1693303953
104,siracusa,37.0881,15.2792,29.77,41,0,2.8,IT,1693303953
105,saipan,15.1355,145.701,27.39,83,75,0.0,MP,1693303888
106,ilulissat,69.2167,-51.1,6.01,81,75,1.03,GL,1693303954
107,kargasok,59.0556,80.8572,19.72,50,11,5.66,RU,1693303955
108,campbell river,50.0163,-125.2446,16.44,99,100,0.7,CA,1693303955
109,pacific grove,36.6177,-121.9166,15.06,89,100,2.24,US,1693303956
110,rexburg,43.826,-111.7897,12.99,71,0,0.0,US,1693303956
111,booue,-0.0921,11.9385,28.47,70,100,0.28,GA,1693303957
112,queenstown,-31.8976,26.8753,24.67,11,0,5.59,ZA,1693303957
113,mana,5.6592,-53.7767,25.29,90,8,2.67,GF,1693303958
114,rakops,-21.0167,24.3333,21.5,28,2,5.69,BW,1693303958
115,stanley,54.868,-1.6985,17.09,72,20,6.17,GB,1693303959
116,xucheng,20.35,110.1288,27.32,86,99,3.78,CN,1693303959
117,cold lake,54.4502,-110.2017,11.97,100,0,1.54,CA,1693303960
118,klyuchi,52.2667,79.1667,24.16,30,2,4.29,RU,1693303960
119,krasnapollye,53.3337,31.4014,24.75,51,65,2.98,BY,1693303961
120,geraldton,-28.7667,114.6,19.23,77,0,7.2,AU,1693303961
121,kayangel,8.0823,134.7173,28.1,84,93,5.77,PW,1693303962
122,hadibu,12.65,54.0333,29.87,61,13,10.76,YE,1693303962
123,tofol,5.3248,163.0078,29.13,74,99,4.06,FM,1693303963
124,yuzhno-kurilsk,44.0306,145.8556,14.71,91,23,2.64,RU,1693303963
125,chelmno,53.3485,18.4251,20.68,70,100,5.28,PL,1693303964
126,hithadhoo,-0.6,73.0833,27.91,72,57,2.47,MV,1693303964
127,aban,56.67,96.06,31.27,44,83,1.18,RU,1693303965
128,luwuk,-0.9516,122.7875,25.34,80,26,3.5,ID,1693303744
129,salinopolis,-0.6136,-47.3561,26.25,80,0,4.33,BR,1693303966
130,altai,46.3722,96.2583,22.33,21,53,1.14,MN,1693303967
131,west island,-12.1568,96.8225,27.99,65,57,4.63,CC,1693303967
132,tabou,4.423,-7.3528,26.02,81,96,3.41,CI,1693303968
133,lerwick,60.1545,-1.1494,14.0,81,100,3.84,GB,1693303968
134,tual,-5.6667,132.75,24.87,88,27,11.06,ID,1693303396
135,obihiro,42.9172,143.2044,18.67,88,100,2.39,JP,1693303858
136,inhambane,-23.865,35.3833,22.99,64,40,2.06,MZ,1693303970
137,uttar char fasson,22.2332,90.7132,31.14,67,97,2.93,BD,1693303970
138,chui,-33.6971,-53.4616,7.47,93,99,0.63,UY,1693303971
139,krasnyy chikoy,50.3643,108.7512,23.45,57,50,0.41,RU,1693303971
140,qamdo,31.1667,97.2333,15.6,42,78,0.5,CN,1693303972
141,bubaque,11.2833,-15.8333,26.94,80,88,4.81,GW,1693303972
142,chefchaouene,35.1688,-5.2636,23.76,16,7,1.22,MA,1693303973
143,farafangana,-22.8167,47.8333,21.31,64,69,5.83,MG,1693303974
144,aasiaat,68.7098,-52.8699,2.29,93,34,2.36,GL,1693303975
145,flying fish cove,-10.4217,105.6791,24.82,83,100,4.63,CX,1693303976
146,kabalo,-6.05,26.9167,34.74,20,34,4.39,CD,1693303977
147,constantia,44.1833,28.65,35.39,48,3,4.39,RO,1693303765
148,bhadrachalam,17.6667,80.8833,31.53,65,11,3.54,IN,1693303979
149,cururupu,-1.8283,-44.8683,25.39,83,4,1.95,BR,1693303980
150,petrolina,-9.3986,-40.5008,25.03,69,0,4.63,BR,1693303950
151,enewetak,11.3474,162.3373,28.74,80,90,8.17,MH,1693303981
152,georgetown,5.4112,100.3354,30.53,79,20,2.57,MY,1693303902
153,hirara,24.8,125.2833,29.2,80,48,8.18,JP,1693303704
154,college,64.8569,-147.8028,11.56,88,75,1.54,US,1693303983
155,haiku-pauwela,20.9219,-156.3051,24.47,70,20,3.09,US,1693303984
156,inarajan village,13.2736,144.7484,25.54,81,100,3.62,GU,1693303984
157,mariana,-20.3778,-43.4161,15.97,98,100,0.74,BR,1693303985
158,khandyga,62.6667,135.6,18.62,70,37,0.35,RU,1693303986
159,qulsary,46.9531,54.0198,18.43,35,29,10.31,KZ,1693303987
160,hofors,60.5457,16.2867,17.69,58,1,2.31,SE,1693303987
161,acarau,-2.8856,-40.12,25.42,81,4,5.25,BR,1693303988
162,formosa do rio preto,-11.0483,-45.1931,23.27,76,87,0.09,BR,1693303989
163,hojai,26.0,92.8667,32.11,70,60,1.72,IN,1693303989
164,longyearbyen,78.2186,15.6401,7.91,76,40,5.14,SJ,1693303990
165,hami,42.8,93.45,36.8,8,81,14.0,CN,1693303906
166,jamestown,42.097,-79.2353,17.8,100,100,0.0,US,1693303991
167,mar del plata,-38.0023,-57.5575,8.94,90,0,4.63,AR,1693303991
168,emerald,-23.5333,148.1667,19.63,45,20,4.28,AU,1693303992
169,dudinka,69.4058,86.1778,15.9,44,12,4.01,RU,1693303733
170,kingston,17.997,-76.7936,26.25,90,75,1.42,JM,1693303948
171,jiaojiang,28.6803,121.4428,25.0,90,90,2.88,CN,1693303994
172,northam,51.0333,-4.2167,16.48,94,80,3.78,GB,1693303994
173,yaren,-0.5472,166.916,28.85,73,18,3.01,NR,1693303995
174,cill airne,52.05,-9.5167,16.03,77,40,4.12,IE,1693303995
175,frontera,26.9333,-101.45,27.72,60,1,1.34,MX,1693303996
176,novomichurinsk,54.0384,39.7479,17.95,42,39,0.41,RU,1693303996
177,hamilton,39.1834,-84.5333,16.11,90,0,0.89,US,1693303744
178,anadyr,64.75,177.4833,8.28,93,75,4.0,RU,1693303997
179,erbil,36.1926,44.0106,35.9,19,40,4.63,IQ,1693303998
180,marsa alam,25.0757,34.8918,33.63,42,4,8.4,EG,1693303998
181,luebo,-5.35,21.4167,36.49,22,3,2.17,CD,1693303999
182,dhidhdhoo,6.8833,73.1,25.11,90,100,11.47,MV,1693303999
183,rio grande,-32.035,-52.0986,11.41,85,87,3.98,BR,1693303777
184,san antonio de pale,-1.4014,5.6325,24.11,85,62,4.71,GQ,1693304000
185,sabang,5.8933,95.3214,28.29,78,80,10.2,ID,1693304000
186,thurso,58.5927,-3.5259,12.14,75,72,5.7,GB,1693304001
187,mayahi,13.9553,7.6712,32.76,40,26,6.04,NE,1693304002
188,holualoa,19.6228,-155.9522,21.94,85,54,0.89,US,1693304002
189,burang,30.25,81.1667,13.74,50,37,4.4,CN,1693304003
190,tromso,69.6496,18.957,13.01,88,75,0.0,NO,1693304004
191,amahai,-3.3333,128.9167,24.68,89,81,4.69,ID,1693304005
192,esquel,-42.9,-71.3167,0.68,94,100,2.97,AR,1693304005
193,hanzhong,33.0728,107.0303,27.4,67,92,0.25,CN,1693304006
194,zhigalovo,54.8097,105.1578,28.3,48,16,0.95,RU,1693304006
195,gadzhiyevo,69.2551,33.3362,14.07,63,100,9.29,RU,1693304007
196,emporia,38.4039,-96.1817,17.11,82,20,0.0,US,1693304007
197,vorgashor,67.5833,63.95,12.14,62,91,2.86,RU,1693304008
198,lascano,-33.6667,-54.2,6.23,95,98,0.34,UY,1693304009
199,smidovich,48.6,133.8167,18.22,80,100,3.16,RU,1693304009
200,sao vicente,-23.9631,-46.3919,19.1,26,27,1.15,BR,1693304010
201,lagoa,39.05,-27.9833,22.38,88,2,6.94,PT,1693304010
202,sydney,-33.8679,151.2073,18.61,79,0,6.69,AU,1693303161
203,lata,40.1629,-8.3327,22.82,50,18,2.72,PT,1693304011
204,al mijlad,11.0333,27.7333,31.64,50,68,4.16,SD,1693303770
205,jiangyou,31.7667,104.7167,21.88,85,100,2.38,CN,1693304012
206,horta,38.5333,-28.6333,22.8,95,75,5.66,PT,1693303984
207,coahuayana de hidalgo,18.7,-103.6583,25.73,93,68,1.49,MX,1693304013
208,palasa,18.7667,84.4167,30.61,65,51,1.88,IN,1693304013
209,fort bragg,35.139,-79.006,23.85,98,40,1.54,US,1693304014
210,sisimiut,66.9395,-53.6735,5.67,94,100,4.72,GL,1693304014
211,kristiansund,63.1115,7.732,16.03,77,75,1.54,NO,1693304015
212,masuda,34.6667,131.85,27.29,76,1,1.83,JP,1693303806
213,kampung sungai ara,5.327,100.2735,30.52,79,20,2.68,MY,1693304016
214,boali,4.8005,18.1275,25.31,84,100,1.83,CF,1693304016
215,isafjordur,66.0755,-23.124,9.02,87,20,1.54,IS,1693304017
216,cepu,-7.1475,111.5906,29.94,53,7,6.65,ID,1693304017
217,nadudvar,47.4167,21.1667,30.12,37,91,5.93,HU,1693304018
218,bandarbeyla,9.4942,50.8122,34.27,42,45,11.63,SO,1693304018
219,veraval,20.9,70.3667,28.36,69,89,4.74,IN,1693304019
220,dul'durga,50.6761,113.5931,21.32,44,96,0.41,RU,1693304019
221,cozumel,20.5083,-86.9458,27.19,92,100,5.23,MX,1693303958
222,kailua-kona,19.6406,-155.9956,24.01,85,42,0.89,US,1693304021
223,carnarvon,-24.8667,113.6333,21.81,64,1,6.52,AU,1693304022
224,port augusta,-32.5,137.7667,21.31,26,97,3.66,AU,1693304023
225,maua,-23.6678,-46.4614,15.2,91,79,1.46,BR,1693303840
226,la passe,45.5549,-0.8967,20.57,60,98,4.7,FR,1693304024
227,colotlan,22.1,-103.2667,16.87,93,100,0.48,MX,1693304025
228,lincoln,40.8,-96.667,19.75,95,0,2.57,US,1693304025
229,quellon,-43.1167,-73.6167,7.27,87,100,7.35,CL,1693303970
230,rio gallegos,-51.6226,-69.2181,6.03,56,0,3.6,AR,1693304003
231,tazovsky,67.4667,78.7,14.87,49,6,5.34,RU,1693304028
232,catabola,-12.15,17.2833,27.39,24,72,4.5,AO,1693303929
233,seabra,-12.4186,-41.7703,19.43,88,95,1.79,BR,1693304029
234,mata-utu,-13.2816,-176.1745,26.95,82,100,11.41,WF,1693304030
235,north augusta,33.5018,-81.9651,22.97,93,0,0.0,US,1693304031
236,essaouira,31.5125,-9.77,29.72,32,0,7.72,MA,1693304032
237,alice springs,-23.7,133.8833,19.75,15,0,3.09,AU,1693304033
238,kodiak,57.79,-152.4072,12.73,94,100,5.14,US,1693304034
239,afaahiti,-17.75,-149.2833,23.93,87,100,8.31,PF,1693304034
240,parras de la fuente,25.4167,-102.1833,21.61,40,43,1.69,MX,1693304035
241,egilsstadir,65.2653,-14.3948,9.95,62,75,1.54,IS,1693304036
242,whangarei,-35.7317,174.3239,9.73,79,92,0.61,NZ,1693304036
243,akureyri,65.6835,-18.0878,9.96,81,40,0.0,IS,1693304037
244,yanam,16.7333,82.2167,36.01,39,8,2.16,IN,1693304039
245,boma,7.0805,-2.1697,25.37,88,96,1.41,GH,1693304040
246,prince rupert,54.3161,-130.3201,16.05,88,100,1.03,CA,1693304041
247,roma,43.2128,-75.4557,19.42,97,75,2.57,US,1693303878
248,pingdu,36.7844,119.9464,22.34,71,0,3.35,CN,1693304044
249,rawai,7.7797,98.3253,30.06,78,88,8.65,TH,1693304045
250,coquimbo,-29.9533,-71.3436,10.85,66,0,2.06,CL,1693304046
251,akkus,40.7931,37.0164,22.25,48,99,5.12,TR,1693304047
252,priozersk,61.0393,30.1291,23.38,95,45,5.31,RU,1693303902
253,nagqu,31.5,92.0,8.79,77,97,2.5,CN,1693304048
254,malpica,43.3228,-8.8105,21.09,71,76,3.25,ES,1693304048
